class_name,precision,recall,f1_score,class_accuracy
Bacterial Spot,0.9747474747474747,0.9061032863849765,0.9391727493917273,0.9862334801762115
Early Blight,0.9841269841269841,0.62,0.7607361963190183,0.9785242290748899
Healthy,0.8368421052631579,1.0,0.9111747851002865,0.9829295154185022
Late Blight,0.9381443298969072,0.9528795811518325,0.9454545454545454,0.9884361233480177
Leaf Mold,1.0,0.8947368421052632,0.9444444444444444,0.9944933920704846
Septoria Leaf Spot,0.8148148148148148,0.9943502824858758,0.8956743002544528,0.9774229074889867
Spider Mites Two-Spotted Spider Mite,0.9402985074626866,0.75,0.8344370860927153,0.9724669603524229
Target Spot,0.7150837988826816,0.9142857142857143,0.8025078369905957,0.9653083700440529
Tomato Mosaic Virus,1.0,0.6756756756756757,0.8064516129032258,0.9933920704845814
Tomato Yellow Leaf Curl Virus,0.9924812030075187,0.9850746268656716,0.9887640449438201,0.9933920704845814
