class_name,precision,recall,f1_score,class_accuracy
Bacterial Spot,0.9409090909090909,0.971830985915493,0.956120092378753,0.9895374449339207
Early Blight,0.9710144927536232,0.67,0.7928994082840237,0.9807268722466961
Healthy,0.9085714285714286,1.0,0.9520958083832335,0.9911894273127754
Late Blight,0.934010152284264,0.9633507853403142,0.9484536082474228,0.9889867841409692
Leaf Mold,0.9883720930232558,0.8947368421052632,0.9392265193370165,0.9939427312775331
Septoria Leaf Spot,0.875,0.9887005649717514,0.9283819628647215,0.9851321585903083
Spider Mites Two-Spotted Spider Mite,0.9485294117647058,0.7678571428571429,0.8486842105263157,0.974669603524229
Target Spot,0.768361581920904,0.9714285714285714,0.8580441640378548,0.9752202643171806
Tomato Mosaic Virus,1.0,0.7837837837837838,0.8787878787878788,0.9955947136563876
Tomato Yellow Leaf Curl Virus,1.0,0.9832089552238806,0.9915333960489181,0.9950440528634361
