class_name,precision,recall,f1_score,class_accuracy
Bacterial Spot,0.8387096774193549,0.9765258215962441,0.9023861171366594,0.9752202643171806
Early Blight,0.8873239436619719,0.63,0.7368421052631579,0.9752202643171806
Healthy,0.8378378378378378,0.9748427672955975,0.9011627906976745,0.9812775330396476
Late Blight,0.9269662921348315,0.8638743455497382,0.8943089430894309,0.9785242290748899
Leaf Mold,0.7563025210084033,0.9473684210526315,0.8411214953271028,0.9812775330396476
Septoria Leaf Spot,0.8626373626373627,0.8870056497175142,0.8746518105849582,0.9752202643171806
Spider Mites Two-Spotted Spider Mite,0.9741379310344828,0.6726190476190477,0.7957746478873239,0.9680616740088106
Target Spot,0.7017543859649122,0.8571428571428571,0.7717041800643086,0.9609030837004405
Tomato Mosaic Virus,1.0,0.7837837837837838,0.8787878787878788,0.9955947136563876
Tomato Yellow Leaf Curl Virus,0.9961315280464217,0.960820895522388,0.9781576448243116,0.9873348017621145
