class_name,precision,recall,f1_score,class_accuracy
Bacterial Spot,0.9583333333333334,0.971830985915493,0.965034965034965,0.9917400881057269
Early Blight,0.9615384615384616,0.75,0.8426966292134831,0.9845814977973568
Healthy,0.9520958083832335,1.0,0.9754601226993864,0.9955947136563876
Late Blight,0.9203980099502488,0.9685863874345549,0.9438775510204082,0.987885462555066
Leaf Mold,1.0,0.9157894736842105,0.956043956043956,0.9955947136563876
Septoria Leaf Spot,0.9513513513513514,0.9943502824858758,0.9723756906077348,0.9944933920704846
Spider Mites Two-Spotted Spider Mite,0.9724137931034482,0.8392857142857143,0.900958466453674,0.9829295154185022
Target Spot,0.7740112994350282,0.9785714285714285,0.8643533123028392,0.9763215859030837
Tomato Mosaic Virus,1.0,0.8918918918918919,0.9428571428571428,0.9977973568281938
Tomato Yellow Leaf Curl Virus,1.0,0.9832089552238806,0.9915333960489181,0.9950440528634361
