class_name,precision,recall,f1_score,class_accuracy
Bacterial Spot,0.961352657004831,0.9342723004694836,0.9476190476190477,0.987885462555066
Early Blight,1.0,0.6,0.7499999999999999,0.9779735682819384
Healthy,0.8368421052631579,1.0,0.9111747851002865,0.9829295154185022
Late Blight,0.9158415841584159,0.9685863874345549,0.9414758269720103,0.9873348017621145
Leaf Mold,1.0,0.8842105263157894,0.9385474860335195,0.9939427312775331
Septoria Leaf Spot,0.8413461538461539,0.9887005649717514,0.9090909090909092,0.9807268722466961
Spider Mites Two-Spotted Spider Mite,0.9562043795620438,0.7797619047619048,0.8590163934426229,0.9763215859030837
Target Spot,0.7616279069767442,0.9357142857142857,0.8397435897435899,0.9724669603524229
Tomato Mosaic Virus,1.0,0.7837837837837838,0.8787878787878788,0.9955947136563876
Tomato Yellow Leaf Curl Virus,0.9962049335863378,0.9794776119402985,0.9877704609595485,0.9928414096916299
